claim,value,as_of_date,confidence,source_url
"Nifty 50 Close","23907.15","2026-05-27","confirmed","https://www.marketscreener.com/quote/index/NIFTY-50-6498115/"
"Nifty IT YTD Return","-23.8%","2026-05-27","confirmed","https://www.nseindia.com/reports-indices-historical-index-data"
"FPI MTD Equity Flow","-₹34468.89 Cr","2026-05-27","confirmed","https://www.nsdl.co.in/fpi/reports.php"
"DII MTD Cash Flow","+₹63445.19 Cr","2026-05-27","confirmed","https://www.kotakneo.com/market/institutional-activity"
"Monthly SIP Flow","₹31115.00 Cr","2026-04-30","confirmed","https://economictimes.indiatimes.com/mf/analysis/sip-inflow-crosses-rs-31000-crore-in-april/"
"Equity Mutual Fund Net Inflows","₹38440.00 Cr","2026-04-30","confirmed","https://www.amfiindia.com/research-information/other-data"
"India VIX Close","14.98","2026-05-27","confirmed","https://www.etnownews.com/markets/india-vix-plummets-7-as-nifty-holds-23900-support-article-110543210"
"SEBI F&O Retail Loss Percentage","91% of individual retail traders lose money","2026-05-27","confirmed","https://zerodha.com/varsity/chapter/sebis-new-fo-rules/"
"SEBI Weekly Expiries Rule","Only 1 weekly expiry index per exchange","2026-05-27","confirmed","https://zerodha.com/varsity/chapter/sebis-new-fo-rules/"
"STT Hike Futures Rate","Futures STT raised to 0.05%","2026-04-01","confirmed","https://zerodha.com/varsity/chapter/sebis-new-fo-rules/"
"STT Hike Options Rate","Options STT raised to 0.15% on premium","2026-04-01","confirmed","https://zerodha.com/varsity/chapter/sebis-new-fo-rules/"
"RBI Repo Rate","5.25%","2026-05-15","confirmed","https://www.rbi.org.in/"
"CPI Retail Inflation","3.48%","2026-04-30","confirmed","https://www.mospi.gov.in/"
"WPI Wholesale Inflation","8.30%","2026-04-30","confirmed","https://economictimes.indiatimes.com/news/economy/indicators/cpi-retail-inflation-april-2026/"
"USD/INR Spot Rate","95.61 to 95.83","2026-05-27","confirmed","https://tradingeconomics.com/india/currency"
"INR REER Index","90.96","2026-04-30","confirmed","https://economictimes.indiatimes.com/news/economy/finance/rupee-undervalued-reer-drops-to-13-year-low/"
"Union Capex Target","₹12.2 Lakh Cr","2026-02-01","confirmed","https://www.indiabudget.gov.in/"
"SEBI F&O Trader Counts Q1 vs Q4 FY25","Declined from over 61 lakh to ~42.7 lakh","2026-05-27","confirmed","https://zerodha.com/varsity/chapter/sebis-new-fo-rules/"
"SEBI Chairperson Appointment","Tuhin Kanta Pandey appointed succeeding Madhabi Puri Buch","2026-05-27","confirmed","https://www.sebi.gov.in/"
"RBI Governor Appointment","Sanjay Malhotra appointed succeeding Shaktikanta Das","2026-05-27","confirmed","https://www.rbi.org.in/"
"Wealth Solitaire SEBI Order","Enforcement case and fines for unregistered advisory","2026-05-27","confirmed","https://www.sebi.gov.in/"
